source,start_time,stop_time,snr_median,snr_mean,n_beats,rmssd,sdnn,hr_median,hr_mean,hr_upper_5,hr_lower_5,hrf_pip,hrf_ials,hrf_pnn_ss,hrf_pnn_as,mean_pr_interval,std_pr_interval,median_pr_interval,mean_qt_interval,std_qt_interval,median_qt_interval,qtc_b,qtc_f,mean_st_segment,std_st_segment,median_st_segment,mean_pr_segment,std_pr_segment,median_pr_segment,mean_pr_peaks_interval,std_pr_peaks_interval,median_pr_peaks_interval,mean_qr_peaks_interval,std_qr_peaks_interval,median_qr_peaks_interval,mean_qrs_complex_interval,std_qrs_complex_interval,median_qrs_complex_interval,mean_rs_peaks_interval,std_rs_peaks_interval,median_rs_peaks_interval,mean_rt_peaks_interval,std_rt_peaks_interval,median_rt_peaks_interval,mean_qrs_amp,std_qrs_amp,median_qrs_amp,mean_qrs_area,std_qrs_area,median_qrs_area,mean_qrs_abs_area,std_qrs_abs_area,median_qrs_abs_area,mean_t_amp,std_t_amp,median_t_amp,ratio_t_r_amp,mean_t_area,std_t_area,median_t_area,mean_t_abs_area,std_t_abs_area,median_t_abs_area,mean_p_amp,std_p_amp,median_p_amp,ratio_p_r_amp,mean_p_area,std_p_area,median_p_area,mean_p_abs_area,std_p_abs_area,median_p_abs_area,mean_st_amp,std_st_amp,median_st_amp,mean_pr_angles,std_pr_angles,median_pr_angles,mean_qr_angles,std_qr_angles,median_qr_angles,mean_rs_angles,std_rs_angles,median_rs_angles,mean_rt_angles,std_rt_angles,median_rt_angles,activity,mobility,complexity,svd1,svd2,svd3,svd4,svd5,norm_morphology_sample_1,norm_morphology_sample_2,norm_morphology_sample_3,norm_morphology_sample_4,norm_morphology_sample_5,norm_morphology_sample_6,norm_morphology_sample_7,norm_morphology_sample_8,norm_morphology_sample_9,norm_morphology_sample_10,norm_morphology_sample_11,norm_morphology_sample_12,norm_morphology_sample_13,norm_morphology_sample_14,norm_morphology_sample_15,norm_morphology_sample_16,norm_morphology_sample_17,norm_morphology_sample_18,norm_morphology_sample_19,norm_morphology_sample_20,norm_morphology_sample_21,norm_morphology_sample_22,norm_morphology_sample_23,norm_morphology_sample_24,norm_morphology_sample_25
v5,1,10000,16.996999,16.163236,17,9.062744,8.115828,103.094001,102.472848,105.193662,100.671141,0.625,0.727273,0.6875,0.3125,134.352941,6.304177,132,353.875,9.358597,354,462.868498,423.241629,56.75,4.905779,57,38.176471,8.719485,39,116.588235,4.486909,115,40.176471,3.066661,41,127.705882,3.077432,128,87.529412,1.841115,87,245.3125,2.75,246,0.403474,0.019393,0.407014,-7.074156,4.793834,-5.727363,16.924439,3.083099,15.777924,0.09362,0.009218,0.095303,0.234151,1.123113,4.509636,2.816023,6.711039,1.704217,6.093451,0.0397,0.00987,0.040556,0.099643,0.692174,4.293378,2.263164,3.316138,2.761779,2.670789,-0.065912,0.031577,-0.057791,0.160615,0.010527,0.163087,0.55564,0.048178,0.552505,0.274747,0.018316,0.27295,0.06846,0.004843,0.067813,0.005058,157.281994,7.668736,54.21892,25.344522,4.627667,3.387558,2.607674,0.11625,0.107105,0.027756,-0.021736,-0.004599,0.004194,-0.007848,0.024316,0.067956,0.03269,-0.053673,-0.077272,0.768896,-0.422455,-0.339925,-0.129731,-0.132171,-0.115965,-0.06451,0.044515,0.099275,0.083202,0.048793,0.015434,0.006026
v6,1,10000,16.492386,16.58962,17,9.04802,7.966335,102.827839,102.483913,105.24801,101.010101,0.5,0.533333,0.75,0.4375,137.941176,7.561999,139,325.625,14.719035,326.5,425.940272,389.467942,80.235294,7.327426,83,41.941176,5.189781,40,146.058824,5.505345,148,51.235294,3.382481,52,83.882353,5.097577,82,32.647059,4.300308,32,193.625,4.674398,193.5,-0.486051,0.012482,-0.48425,-10.515577,3.101558,-9.559264,13.694999,2.006573,13.340666,-0.114734,0.009783,-0.114218,0.235866,-8.927718,5.329813,-6.673198,9.555156,5.025997,7.537223,0.071018,0.006594,0.069698,-0.143929,6.264442,4.05688,7.975666,7.193038,1.871548,7.975666,0.013342,0.036788,0.028186,-0.233519,0.010078,-0.231395,-0.576664,0.033769,-0.569253,-0.815703,0.098872,-0.784471,-0.112939,0.00597,-0.113079,0.007616,99.930282,8.626193,56.222078,21.109085,4.96218,3.789551,2.422939,-0.113861,-0.050576,-0.016592,-0.001612,0.011795,0.040743,0.080413,0.188913,0.147732,0.050931,0.052045,0.064186,-0.907822,-0.085468,0.066294,0.052157,0.019817,-0.057261,-0.171803,-0.169715,-0.080503,-0.032984,-0.004458,0.011385,0.027009
i,10001,20000,17.488676,17.522349,17,6.366579,4.312772,102.739726,102.416113,103.951149,101.351351,0.75,0.75,0.75,0.3125,99.294118,1.104802,100,352.9375,7.316363,354.5,461.346355,421.939967,57,5.667892,58,42.764706,6.495474,43,117.058824,6.29951,118,55.176471,1.333946,55,115.647059,1.617914,116,60.470588,2.374806,60,229,7.00476,229.5,-0.096786,0.010963,-0.096203,5.665348,0.902107,5.7298,11.122993,0.181397,11.142093,0.079919,0.004187,0.079271,-0.824004,1.451559,1.163222,1.783429,6.463503,0.568558,6.478287,-0.025715,0.005702,-0.026852,0.279115,-1.485746,0.324256,-1.551494,1.502386,0.306056,1.551494,-0.069996,0.006814,-0.066485,-0.049461,0.006911,-0.050506,-0.121156,0.013604,-0.124951,-0.072947,0.009376,-0.069519,-0.048714,0.004298,-0.047808,0.00345,171.833958,7.064305,66.848131,8.595869,5.133823,4.038536,3.395874,0.125761,0.093575,0.046495,0.012154,-0.003522,-0.020187,-0.041366,-0.055824,-0.134757,-0.072491,-0.085059,0.662711,-0.436389,0.341187,-0.188408,-0.209777,-0.19617,-0.141579,-0.019885,0.125922,0.154305,0.099527,0.050136,0.025825,-0.003568
ii,10001,20000,18.302364,18.055841,17,7.659417,5.240865,102.390271,102.372063,103.951149,101.351351,0.625,0.666667,0.75,0.4375,136.823529,9.671061,130,352.5625,11.517921,356.5,460.75777,421.431652,50.470588,5.328199,50,35.588235,4.664478,36,115.411765,3.623859,115,43.117647,7.51567,41,132.117647,6.565843,132,89,2.20794,88,244.4375,4.74649,244,0.399461,0.014945,0.399818,-4.914617,0.935146,-4.920224,15.566787,0.553338,15.72078,0.086887,0.005397,0.086365,0.21601,3.732332,1.010768,3.417982,6.557869,0.953407,6.629475,0.048305,0.010341,0.044799,0.112048,2.626345,0.476603,2.741462,2.662192,0.448642,2.741462,-0.046856,0.00622,-0.045618,0.15479,0.009873,0.15445,0.517104,0.069083,0.511605,0.269166,0.015566,0.270513,0.068772,0.002723,0.068545,0.004939,138.447202,8.040526,69.660411,7.153457,4.728155,3.644862,2.414261,0.11799,0.109299,0.062204,0.024033,0.023828,0.028002,0.021687,0.051972,0.094783,0.036158,-0.017731,-0.05464,0.784802,-0.408635,-0.318564,-0.122369,-0.092183,-0.084281,-0.040492,0.041155,0.112978,0.129584,0.05066,0.022786,0.025335
iii,10001,20000,17.593716,17.610938,17,8.221922,5.738757,102.390271,102.349515,104.205214,101.351351,0.6875,0.8,0.625,0.3125,141.882353,11.93672,140,321.375,13.415787,322.5,419.999371,384.152022,74.705882,7.269497,73,43.235294,5.573704,42,145.529412,2.426872,146,50.176471,4.065638,51,87.529412,5.316456,88,37.352941,4.045695,38,194,2.94392,194,-0.488127,0.012468,-0.486622,-9.387896,0.734929,-9.321757,13.15533,0.569542,13.169566,-0.114225,0.009688,-0.115003,0.236329,-6.271771,1.20717,-6.004732,7.233137,1.019869,7.242097,0.073989,0.008912,0.077374,-0.159003,8.551362,0.832617,8.61201,8.551362,0.832617,8.61201,0.031965,0.008716,0.031269,-0.237165,0.005729,-0.237205,-0.59084,0.036934,-0.577761,-0.715734,0.085486,-0.721008,-0.113115,0.003749,-0.113551,0.007819,116.289903,9.424565,68.931884,5.838502,4.845161,3.058555,2.92426,-0.074532,-0.010571,0.018774,0.024173,0.042599,0.073642,0.112243,0.226241,0.183316,0.076665,0.075976,0.095043,-0.892954,-0.068677,0.083435,0.061171,0.042472,-0.033847,-0.132883,-0.152794,-0.089561,-0.010216,0.015921,0.024829,0.048491
v1,10001,20000,17.384232,17.282997,17,6.928203,4.816638,102.390271,102.370791,103.951149,101.351351,0.6875,0.8,0.625,0.1875,100.647059,1.057188,101,359.6875,12.789156,358.5,470.069308,429.948441,56.705882,5.752877,55,29.352941,8.587354,29,118.294118,1.531531,118,54.470588,0.943242,54,115.588235,1.697749,115,61.117647,1.798692,61,228.8125,5.03612,229,-0.096104,0.009364,-0.094627,5.604602,0.815899,5.68119,11.141914,0.233378,11.12416,0.083734,0.00493,0.083608,-0.883559,1.576925,1.128743,2.001602,6.628195,0.534999,6.552001,-0.027558,0.004823,-0.027037,0.285721,-1.85389,0.515546,-1.840948,1.869754,0.499144,1.846645,-0.070591,0.007003,-0.069649,-0.048024,0.006215,-0.04718,-0.121902,0.011354,-0.118258,-0.071474,0.008527,-0.073073,-0.049517,0.003932,-0.048885,0.003484,170.434869,7.08413,67.671082,7.378894,5.411777,4.380925,3.111909,0.154169,0.096672,0.043915,0.015728,-0.009595,-0.029491,-0.040695,-0.05153,-0.134873,-0.074191,-0.086142,0.636871,-0.441732,0.346734,-0.204388,-0.221696,-0.208856,-0.15117,-0.001436,0.136654,0.135861,0.102671,0.047323,0.006466,-0.003369
v2,10001,20000,17.919356,17.974898,17,8.824209,6,102.040816,102.486637,104.166667,101.351351,0.6875,0.8,0.625,0.3125,115.823529,5.47991,116,355.8125,12.523145,353.5,465.005138,425.316503,54.411765,6.946751,53,32.058824,5.952632,32,114.764706,3.326586,114,43.352941,4.568112,44,133.058824,4.968282,133,89.705882,1.723539,89,243.625,3.981206,244,0.397522,0.021107,0.397151,-4.941762,0.927897,-5.019847,15.620509,0.583386,15.808951,0.086175,0.006529,0.085803,0.216048,3.997923,1.066395,3.756569,6.457558,0.997676,6.606934,0.049292,0.009178,0.051843,0.130537,2.427804,0.460848,2.465427,2.469725,0.426912,2.507474,-0.046246,0.005777,-0.044101,0.156588,0.01122,0.156311,0.506091,0.053674,0.503188,0.265693,0.01746,0.265461,0.068683,0.003809,0.068236,0.004968,138.642802,8.012742,69.12108,7.252236,5.107861,3.545557,2.343483,0.138797,0.138337,0.054175,0.025138,0.023187,0.02928,0.010283,0.04157,0.109728,0.041622,-0.018112,-0.048261,0.771681,-0.415363,-0.316422,-0.117597,-0.084819,-0.093362,-0.038598,0.045129,0.142465,0.11265,0.051574,0.024558,0.026763
v3,10001,20000,17.90699,18.017272,17,7.047458,4.881513,102.477188,102.39393,104.077961,101.351351,0.5,0.533333,0.75,0.4375,144.647059,14.970559,141,317.8125,10.653442,318,415.410123,379.934188,75.941176,5.606588,77,40.529412,5.906751,38,145.941176,1.748949,146,50.411765,4.624106,52,88.470588,6.510738,89,38.058824,3.454537,38,193.625,2.986079,194.5,-0.489484,0.011997,-0.484398,-9.398481,0.758216,-9.311347,13.197334,0.585555,13.227235,-0.111449,0.011174,-0.112673,0.232605,-6.399724,1.286573,-6.319083,7.211346,0.939061,7.241301,0.075465,0.009745,0.075448,-0.155757,8.804687,1.110656,8.622742,8.804687,1.110656,8.622742,0.032409,0.007737,0.033156,-0.236708,0.004248,-0.23626,-0.586937,0.042447,-0.576284,-0.70645,0.067052,-0.716584,-0.113417,0.004321,-0.114148,0.007814,109.113114,9.306643,68.940411,5.752325,3.817164,3.308831,2.899584,-0.073963,-0.012543,0.017293,0.028094,0.048761,0.075937,0.113637,0.226439,0.180158,0.07643,0.075849,0.105023,-0.891735,-0.064793,0.087242,0.060953,0.038837,-0.039704,-0.139475,-0.148768,-0.082675,-0.008871,0.014593,0.024879,0.05234
v4,10001,20000,17.323444,17.417496,17,7.518865,5.240865,102.390271,102.372063,103.951149,101.351351,0.6875,0.8,0.625,0.1875,100.705882,2.084607,102,360.8125,11.720175,356.5,471.53955,431.293198,57.588235,5.08747,57,35.352941,11.423338,43,117.529412,2.40098,118,54.117647,1.452685,54,116.411765,1.543487,116,62.294118,2.3655,63,230.0625,5.790438,229.5,-0.09507,0.009588,-0.094612,5.57619,0.846635,5.847929,11.172554,0.241273,11.198131,0.083189,0.006481,0.082421,-0.871145,1.725328,0.947139,1.845032,6.454483,0.597261,6.225692,-0.027158,0.003975,-0.027733,0.293127,-1.676281,0.46597,-1.597347,1.688548,0.455271,1.597347,-0.070383,0.006669,-0.069515,-0.04859,0.006013,-0.047668,-0.121579,0.012842,-0.121399,-0.069424,0.008248,-0.068898,-0.049141,0.003983,-0.047844,0.003478,170.037148,7.092869,66.754014,7.736198,5.132623,4.633361,3.383493,0.160234,0.101208,0.048749,0.024599,-0.003844,-0.026287,-0.037015,-0.045848,-0.131644,-0.070735,-0.083878,0.626997,-0.444528,0.355338,-0.198588,-0.227418,-0.207038,-0.151787,-0.004672,0.13632,0.141335,0.110139,0.051552,0.011104,-0.002294
v5,10001,20000,18.342826,17.357631,17,9.179688,6.175219,102.390271,102.326755,104.676573,101.351351,0.625,0.727273,0.6875,0.3125,117.588235,8.13218,119,354.6875,14.31884,354.5,463.534895,423.971747,55.235294,7.17225,55,30.941176,6.015299,31,115.235294,3.509441,115,45.117647,6.744279,42,135.117647,7.16661,133,90,1.274755,90,244.3125,3.439356,244.5,0.396105,0.0173,0.397756,-5.016167,0.974702,-4.812672,15.67049,0.664107,15.741906,0.085322,0.008324,0.083827,0.210751,4.013143,1.044553,3.849916,6.390019,1.009366,6.571565,0.048527,0.009722,0.050195,0.126195,2.473465,0.572819,2.524532,2.517879,0.520927,2.56355,-0.046187,0.006199,-0.044007,0.15535,0.012154,0.155796,0.488537,0.060793,0.50566,0.263512,0.012954,0.262855,0.068504,0.002864,0.067811,0.004945,138.686057,8.017845,68.69506,7.790034,5.101102,3.490492,2.640395,0.115597,0.110885,0.06483,0.025068,0.020573,0.023926,0.01552,0.050156,0.094083,0.043184,-0.011352,-0.04758,0.77796,-0.420678,-0.323944,-0.118382,-0.090901,-0.079767,-0.041051,0.042162,0.111478,0.128793,0.056272,0.026548,0.022997
v6,10001,20000,18.269454,18.467631,17,7.25718,4.939636,102.127734,102.371153,103.951149,101.351351,0.5625,0.615385,0.625,0.1875,142.411765,13.495642,138,322.75,12.667544,320,421.796334,385.795613,76.705882,6.564723,74,38.647059,6.754084,40,146.117647,1.798692,146,52.176471,2.505875,53,88.647059,5.743923,89,36.470588,4.001838,37,192.8125,3.42965,194,-0.492212,0.012953,-0.49357,-9.317868,0.700263,-9.229995,13.213669,0.639831,13.244195,-0.111224,0.013304,-0.114071,0.231114,-6.376241,1.243205,-6.232819,7.261645,0.998392,7.194006,0.07678,0.00815,0.077098,-0.156205,8.786956,0.831253,8.762412,8.786956,0.831253,8.762412,0.031604,0.007767,0.032769,-0.237055,0.005096,-0.237417,-0.573692,0.023409,-0.578279,-0.735509,0.085457,-0.712187,-0.114487,0.004817,-0.114912,0.007824,124.502565,9.163642,70.644926,5.281797,3.993363,3.026572,2.889585,-0.058957,-0.004719,0.011707,0.026961,0.047171,0.075035,0.104953,0.222242,0.181466,0.075227,0.073094,0.111672,-0.895009,-0.066301,0.086738,0.060175,0.040866,-0.042679,-0.13342,-0.152365,-0.077148,0.001647,0.014612,0.028884,0.053678
i,20001,30000,15.965709,15.990418,17,8.197561,6.403124,101.351351,101.505044,103.235711,99.536424,0.5625,0.636364,0.6875,0.5,97.941176,15.485762,97,360,8.717798,363,468.184384,428.922455,56.176471,6.802897,55,23.764706,8.422659,20,117.235294,13.962134,118,55.176471,1.333946,55,115.823529,2.35147,116,60.647059,3.200414,61,228,4.993329,228,-0.098658,0.008895,-0.101568,5.43423,0.634036,5.456701,10.97681,0.265973,11.054821,0.081269,0.005893,0.080382,-0.791404,1.526454,1.122084,1.742565,6.542478,0.554608,6.52941,-0.021212,0.014029,-0.026564,0.261542,-2.205127,0.400576,-2.215541,2.205402,0.400449,2.215541,-0.068989,0.004566,-0.067876,-0.051301,0.01214,-0.048716,-0.122536,0.009607,-0.124493,-0.075373,0.012238,-0.073949,-0.049217,0.003908,-0.048982,0.003333,173.258115,7.069955,67.008124,7.97496,5.364199,4.052617,2.923199,0.164752,0.101932,0.043939,0.005688,-0.010711,-0.020062,-0.055855,-0.021292,-0.146172,-0.095815,-0.076635,0.548392,-0.456994,0.464385,-0.200277,-0.207577,-0.207445,-0.133906,-0.000972,0.119751,0.161606,0.090129,0.037563,0.020839,-0.013206
ii,20001,30000,16.042826,16.186824,17,8.763561,6.511528,101.351351,101.456457,103.235711,99.536424,0.75,0.727273,0.6875,0.3125,115.058824,16.566044,119,357.125,9.322911,357.5,464.347251,425.437078,54.705882,5.913594,58,33.411765,6.062784,34,109.823529,11.298425,114,40.705882,3.531372,40,130.882353,3.314407,131,90.176471,1.550617,91,245.625,4.031129,245,0.394998,0.019098,0.395861,-4.889201,0.911383,-4.713805,15.517753,0.757729,15.265846,0.086957,0.00746,0.086914,0.219556,4.083419,1.042057,3.844018,6.45009,0.808215,6.531815,0.045364,0.019361,0.050282,0.127019,2.150115,0.823138,2.012707,2.246076,0.742238,2.082416,-0.043338,0.010999,-0.040392,0.166626,0.037924,0.158321,0.536463,0.042164,0.535617,0.261282,0.017264,0.258706,0.067925,0.004284,0.068263,0.004842,146.102144,7.987692,66.312585,8.018106,5.534631,4.098583,3.121899,0.126924,0.121292,0.061009,0.028198,0.017376,0.022914,0.007905,0.017941,0.11141,0.04838,-0.01929,-0.029277,0.787986,-0.384002,-0.338991,-0.0975,-0.074393,-0.106691,-0.026289,0.071892,0.122667,0.114669,0.055931,0.019392,0.013806
iii,20001,30000,16.900457,16.80793,17,9.033272,6.792152,101.351351,101.457623,103.235711,99.536424,0.5625,0.7,0.625,0.4375,138.588235,8.10138,135,328.125,17.58361,322.5,426.640369,390.88986,74.764706,6.45687,73,41.823529,4.824874,42,141.823529,7.108404,145,52.176471,2.480809,52,87.705882,4.48281,88,35.529412,3.907007,34,192.875,3.008322,193.5,-0.498226,0.014577,-0.498592,-9.315099,1.114028,-9.349974,13.115803,0.658065,13.121357,-0.117733,0.009865,-0.115494,0.231639,-6.236727,1.087288,-6.01806,7.495712,0.880921,7.476485,0.071894,0.008993,0.071699,-0.143803,8.516637,1.164721,8.231026,8.516637,1.164721,8.231026,0.033566,0.008881,0.033646,-0.246371,0.012058,-0.24315,-0.576695,0.025963,-0.580269,-0.771298,0.099563,-0.799781,-0.115416,0.006069,-0.116407,0.007816,129.509096,9.077567,66.990046,6.261526,5.244981,4.271697,3.449045,-0.075976,-7.6e-05,0.012636,0.03279,0.05517,0.069371,0.11218,0.200335,0.183362,0.089032,0.067926,0.070823,-0.896021,-0.017896,0.098066,0.072292,0.058433,-0.054165,-0.156655,-0.153197,-0.071424,-0.006103,0.006455,0.018088,0.057945
v1,20001,30000,15.530939,15.627314,17,8.579044,6.67333,101.696084,101.457119,103.235711,99.536424,0.5625,0.7,0.625,0.25,99.529412,2.40098,99,361.625,11.218289,361,470.198319,430.797853,56.117647,8.022487,57,35.647059,7.913131,37,118.294118,2.616408,118,55.470588,1.699913,55,117.941176,8.158359,116,62.470588,7.730764,61,228.8125,6.123384,227,-0.097497,0.007486,-0.097398,5.273502,0.935156,5.482998,11.220006,0.651287,11.122991,0.083068,0.007176,0.083046,-0.85264,1.607617,1.1668,1.373886,6.54429,0.644133,6.616046,-0.027115,0.004234,-0.026674,0.27387,-1.839309,0.328161,-1.74871,1.84506,0.324018,1.805523,-0.069648,0.00481,-0.069615,-0.04854,0.005599,-0.048618,-0.120073,0.010347,-0.121827,-0.072958,0.008982,-0.072485,-0.049528,0.004309,-0.049494,0.003388,170.959994,7.104817,67.271779,7.750623,5.544428,3.938772,3.039455,0.134148,0.097332,0.045432,0.009948,-0.001587,-0.032369,-0.0486,-0.026413,-0.133609,-0.073077,-0.071233,0.617618,-0.430939,0.43777,-0.198559,-0.198389,-0.20345,-0.130815,0.016838,0.112336,0.14166,0.084168,0.038263,0.018059,-0.007476
v2,20001,30000,16.06822,16.045235,17,8.824209,6.67333,101.351351,101.457145,103.235711,99.536424,0.5625,0.7,0.625,0.125,116.411765,15.544528,119,360.5,14.094916,359.5,468.735552,429.457659,52.8125,5.504165,53,32.176471,5.854862,30,110.352941,11.725726,114,41.823529,2.899036,42,132.529412,3.5021,132,90.705882,1.686887,91,245.4375,3.915248,244,0.394273,0.019587,0.393097,-4.946428,1.004536,-5.159368,15.555245,0.732182,15.302588,0.086868,0.008416,0.087746,0.223216,4.053781,1.144337,3.964466,6.571891,0.74492,6.669935,0.047228,0.023698,0.052862,0.134475,2.178864,0.813965,1.983271,2.282159,0.725007,2.118905,-0.043349,0.011502,-0.043714,0.165434,0.043499,0.157628,0.514561,0.043615,0.508512,0.26219,0.019452,0.258719,0.067168,0.004987,0.068569,0.004784,147.129035,7.949134,66.096682,7.866345,5.575318,4.71064,3.288478,0.121801,0.126293,0.060462,0.031444,0.018323,0.02624,0.012843,0.020277,0.121218,0.054711,-0.016122,-0.022452,0.793608,-0.378351,-0.330268,-0.092543,-0.071545,-0.104422,-0.024048,0.075605,0.121336,0.11472,0.05424,0.02281,0.015847
v3,20001,30000,17.391463,17.282797,17,8.824209,6.728051,101.351351,101.50638,103.235711,99.536424,0.625,0.7,0.625,0.375,138.529412,6.94728,138,318.4375,13.5054,316,414.131847,379.402762,76,4.898979,74,41.235294,4.905729,41,142.176471,6.830403,145,50.647059,4.48527,51,86.647059,4.076475,88,36,4.031129,37,193.75,3.21455,194,-0.495326,0.013785,-0.494277,-9.343659,1.156392,-9.431851,13.102263,0.615343,12.98585,-0.11251,0.010185,-0.112318,0.227237,-6.336101,1.167342,-6.113837,7.345241,0.821183,7.301172,0.072149,0.006257,0.072793,-0.147271,8.514998,0.927037,8.222338,8.514998,0.927037,8.222338,0.033391,0.009352,0.032719,-0.245475,0.011532,-0.243292,-0.592337,0.047856,-0.597154,-0.758268,0.095899,-0.73223,-0.115347,0.005825,-0.115588,0.007789,131.552949,9.00724,67.563019,6.734604,5.418712,3.847867,3.459642,-0.080817,-0.003692,0.013725,0.031945,0.051735,0.068058,0.10889,0.198286,0.1816,0.080844,0.062686,0.053169,-0.90025,-0.026569,0.089038,0.064472,0.050538,-0.05665,-0.159652,-0.156605,-0.071754,-0.005862,0.006487,0.017919,0.054123
v4,20001,30000,16.405197,16.597851,17,8.824209,6.67333,101.351351,101.457145,103.235711,99.536424,0.5625,0.777778,0.5625,0.25,101.294118,4.673926,100,358.3125,9.652072,356.5,465.891283,426.851727,57,6.528782,57,40.235294,5.562479,42,119.411765,1.839117,118,55.294118,1.649421,55,116.294118,2.284861,117,61,1.837117,62,228.4375,6.22863,227.5,-0.098241,0.008793,-0.098199,5.408011,0.608548,5.425623,11.066036,0.236539,11.080282,0.08186,0.005623,0.082047,-0.835516,1.568355,1.031874,1.296179,6.405998,0.622405,6.454983,-0.027158,0.004455,-0.028006,0.285194,-1.715856,0.254939,-1.689625,1.724646,0.241705,1.689625,-0.069898,0.00443,-0.069657,-0.047415,0.005163,-0.047625,-0.121647,0.008644,-0.118744,-0.074454,0.010995,-0.0746,-0.049382,0.004386,-0.050187,0.003386,172.571552,7.089489,66.656147,8.156651,5.108822,3.939941,2.794623,0.163564,0.101725,0.040881,0.007505,-0.00527,-0.020622,-0.05019,-0.017881,-0.143019,-0.091768,-0.073478,0.554953,-0.451089,0.464842,-0.200506,-0.211094,-0.210794,-0.131668,0.002719,0.116853,0.160942,0.090334,0.035519,0.023071,-0.004534
v5,20001,30000,15.363099,15.572657,17,9.179688,6.831301,101.351351,101.457793,103.235711,99.536424,0.5,0.583333,0.5625,0.4375,115.705882,5.97667,115,360.8125,13.176842,359.5,469.141876,429.829935,55.8125,4.819665,56,34.823529,5.387895,35,113.117647,3.443878,114,43.352941,4.581773,41,134,4.344537,134,90.647059,1.934592,91,244.875,3.518996,244,0.393016,0.020423,0.395512,-5.004976,0.943529,-5.142998,15.615593,0.751376,15.374672,0.087412,0.009019,0.088384,0.223467,4.240299,1.079263,4.18977,6.474108,0.726126,6.418282,0.049312,0.010719,0.049984,0.126379,2.331608,0.621307,2.190423,2.357619,0.603236,2.227628,-0.043676,0.010999,-0.044277,0.155293,0.009971,0.157167,0.499283,0.044161,0.513227,0.2601,0.018731,0.252661,0.067626,0.004417,0.068437,0.004805,148.10523,7.91799,66.417398,7.791463,5.0823,4.795133,3.141738,0.124108,0.126724,0.062609,0.035801,0.021094,0.028742,0.013754,0.022426,0.121926,0.053043,-0.015369,-0.024369,0.79481,-0.376899,-0.325527,-0.091367,-0.067518,-0.10169,-0.020664,0.07671,0.122789,0.120594,0.058221,0.018515,0.01448
v6,20001,30000,17.23277,17.238949,17,8.763561,6.511528,101.351351,101.456457,103.235711,99.536424,0.6875,0.727273,0.6875,0.3125,137.764706,8.257795,135,323.5625,16.394994,317.5,420.708036,385.454629,74.470588,5.269223,73,41.941176,6.348923,41,142.470588,6.737188,145,50.882353,4.211329,51,86.882353,4.357212,88,36,3.921097,37,193.5625,3.140462,193.5,-0.496487,0.012391,-0.493822,-9.345415,1.164664,-9.463502,13.101082,0.601721,12.969526,-0.114142,0.010593,-0.112338,0.227487,-6.255707,1.063088,-6.076016,7.457826,0.827503,7.335195,0.074459,0.00678,0.073731,-0.149306,8.493009,1.250887,8.268797,8.493009,1.250887,8.268797,0.033772,0.010163,0.033118,-0.246057,0.011373,-0.244336,-0.590917,0.043343,-0.582146,-0.759217,0.095355,-0.733217,-0.115354,0.00524,-0.11496,0.007771,131.231497,9.039646,68.094042,6.794083,4.692485,4.292056,3.358025,-0.076474,-0.002342,0.015748,0.03494,0.058422,0.072275,0.112102,0.202392,0.186233,0.085993,0.068736,0.061048,-0.895619,-0.02089,0.093499,0.068112,0.057571,-0.05337,-0.157455,-0.154764,-0.073247,-0.00809,0.007,0.019388,0.057176
